2024-07-12 10:08:18 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 8.0.1.Final 
2024-07-12 10:08:18 [main] INFO  c.a.t.e.EcommerceApplication                       - Starting EcommerceApplication using Java 20.0.1 with PID 6696 (D:\18_05_2022\java\MOCK\mockproject\Be\ecommerce\target\classes started by admin in D:\18_05_2022\java\MOCK\mockproject\Be\ecommerce) 
2024-07-12 10:08:18 [main] INFO  c.a.t.e.EcommerceApplication                       - The following 1 profile is active: "dev" 
2024-07-12 10:08:19 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-07-12 10:08:19 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 91 ms. Found 11 JPA repository interfaces. 
2024-07-12 10:08:19 [main] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port 8080 (http) 
2024-07-12 10:08:19 [main] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2024-07-12 10:08:19 [main] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2024-07-12 10:08:19 [main] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/10.1.17] 
2024-07-12 10:08:19 [main] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2024-07-12 10:08:19 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1512 ms 
2024-07-12 10:08:19 [main] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2024-07-12 10:08:20 [main] INFO  c.z.h.p.HikariPool                                 - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7d126083 
2024-07-12 10:08:20 [main] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2024-07-12 10:08:20 [main] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2024-07-12 10:08:20 [main] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 6.4.1.Final 
2024-07-12 10:08:20 [main] INFO  o.h.c.i.RegionFactoryInitiator                     - HHH000026: Second-level cache disabled 
2024-07-12 10:08:20 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo                - No LoadTimeWeaver setup: ignoring JPA class transformer 
